frame_idx,track_id,object_type,conf,cx,cy,cx_norm,cy_norm,video_w,video_h
0,0,ball,0.355913370847702,1652.3664355521744,475.8498214395473,0.8606075185167575,0.4406016865180994,1920,1080
1,0,ball,0.2764151990413666,1646.7004779856516,475.8928487871253,0.8576564989508602,0.4406415266547456,1920,1080
2,0,ball,0.0,1640.156625682847,475.93516895959044,0.8542482425431496,0.4406807119996208,1920,1080
3,0,ball,0.05212615057826042,1633.8041925185664,475.9346925562596,0.85093968360342,0.44068027088542555,1920,1080
4,0,ball,0.4397415816783905,1628.743482938377,475.8501941372268,0.848303897363738,0.44060203160854333,1920,1080
5,0,ball,0.4396197497844696,1624.2723920489868,475.71978294391107,0.8459752041921806,0.44048128050362134,1920,1080
6,0,ball,0.2870950996875763,1618.8416920136024,475.55299713804106,0.8431467145904179,0.44032684920188986,1920,1080
7,0,ball,0.0,1612.4265768552398,475.47304449864674,0.8398055087787707,0.44025281898022844,1920,1080
8,0,ball,0.4433826804161072,1605.7550041112693,475.4017253291082,0.8363307313079528,0.44018678271213724,1920,1080
9,0,ball,0.3812209367752075,1599.5994333625767,475.2626361809921,0.833124704876342,0.44005799646388155,1920,1080
10,0,ball,0.44499820470809937,1594.030373876826,475.1944109952875,0.8302241530608468,0.4399948249956366,1920,1080
11,0,ball,0.44499671459198,1589.3993411329893,475.13572536332015,0.8278121568400986,0.43994048644751865,1920,1080
12,0,ball,0.30480247735977173,1584.5107158264136,475.070648802794,0.8252659978262571,0.43988023037295737,1920,1080
13,0,ball,0.44834592938423157,1579.6768484067009,475.0511939328711,0.8227483585451567,0.4398622166045103,1920,1080
14,0,ball,0.3745426535606384,1574.9949502237791,475.03342906270854,0.8203098699082183,0.439845767650656,1920,1080
15,0,ball,0.4071863889694214,1570.5101453004374,475.03351435779734,0.8179740340106445,0.43984584662759013,1920,1080
16,0,ball,0.4520871937274933,1566.6746579644087,475.0540557831703,0.8159763843564628,0.43986486646589845,1920,1080
17,0,ball,0.4521518051624298,1563.399952978155,475.1427497411712,0.814270808842789,0.43994699050108443,1920,1080
18,0,ball,0.33618971705436707,1559.7508226713592,475.2927282979363,0.8123702201413329,0.44008585953512624,1920,1080
19,0,ball,0.4501972496509552,1555.9958552637727,475.35953435122707,0.8104145079498816,0.44014771699187694,1920,1080
20,0,ball,0.4494468867778778,1552.187381440682,475.354378390513,0.8084309278336885,0.44014294295417866,1920,1080
21,0,ball,0.3395273983478546,1548.4581699364428,475.42798806245634,0.8064886301752306,0.44021110005782993,1920,1080
22,0,ball,0.4379251301288605,1545.2554321751597,475.44152727589244,0.8048205375912291,0.4402236363665671,1920,1080
23,0,ball,0.4378989636898041,1542.5540337766874,475.44388601632994,0.8034135592586914,0.4402258203854907,1920,1080
24,0,ball,0.40936514735221863,1539.5358101813483,475.4660429632997,0.8018415678027856,0.4402463360771293,1920,1080
25,0,ball,0.33388030529022217,1536.1485830747365,475.57501119534754,0.800077387018092,0.4403472325882848,1920,1080
26,0,ball,0.4211319088935852,1532.8753311007094,475.70597716044915,0.7983725682816195,0.44046849737078625,1920,1080
27,0,ball,0.3889179527759552,1529.8610487809647,475.7708489088522,0.7968026295734191,0.4405285638044928,1920,1080
28,0,ball,0.3241282105445862,1527.1189400322307,475.79734139566546,0.7953744479334535,0.4405530938848754,1920,1080
29,0,ball,0.32407066226005554,1524.5572759241868,475.87545885964994,0.7940402478771806,0.44062542487004625,1920,1080
30,0,ball,0.3788295388221741,1521.478589303102,476.02957510978575,0.7924367652620322,0.4407681251016535,1920,1080
31,0,ball,0.42183253169059753,1518.2337791510467,476.1602040256014,0.7907467599745035,0.4408890778014828,1920,1080
32,0,ball,0.3764756917953491,1514.969375761415,476.3174973970413,0.789046549875737,0.44103471981207526,1920,1080
33,0,ball,0.3802533447742462,1511.7863519159582,476.4361422121743,0.7873887249562282,0.4411445761223836,1920,1080
34,0,ball,0.455944299697876,1509.1468631562118,476.4675128098318,0.7860139912271936,0.44117362297206647,1920,1080
35,0,ball,0.4559488892555237,1506.9703981228804,476.41740883000705,0.7848804156890002,0.44112723039815466,1920,1080
36,0,ball,0.4088020324707031,1504.5317349184704,476.300950868732,0.78361027860337,0.4410193989525296,1920,1080
37,0,ball,0.35330986976623535,1501.692329275624,476.20544632729195,0.7821314214977207,0.4409309688215666,1920,1080
38,0,ball,0.3992365896701813,1498.6039499774931,476.1266123273679,0.7805228906132776,0.44085797437719254,1920,1080
39,0,ball,0.43349894881248474,1495.7278645531362,476.0279023477448,0.7790249294547584,0.4407665762479119,1920,1080
40,0,ball,0.3934827744960785,1493.2515156179702,476.0261180038304,0.7777351643843595,0.44076492407762075,1920,1080
41,0,ball,0.39373520016670227,1491.1919714664161,476.1085108989547,0.7766624851387584,0.4408412137953284,1920,1080
42,0,ball,0.3169315755367279,1488.9460640777922,476.3068266398125,0.7754927417071834,0.4410248394813079,1920,1080
43,0,ball,0.3873976469039917,1486.5022517009925,476.6414803494228,0.7742199227609335,0.44133470402724334,1920,1080
44,0,ball,0.4405476450920105,1484.2523982321695,477.05217234964306,0.7730481240792549,0.44171497439781765,1920,1080
45,0,ball,0.41214168071746826,1482.3307527341763,477.4732947294923,0.7720472670490501,0.44210490252730766,1920,1080
46,0,ball,0.3904730975627899,1480.620028092881,477.78403338773717,0.7711562646317088,0.442392623507164,1920,1080
47,0,ball,0.39085835218429565,1478.9372400975672,477.8857848524931,0.7702798125508162,0.4424868378263825,1920,1080
48,0,ball,0.29866841435432434,1476.899440434235,477.81325419644344,0.7692184585594973,0.4424196798115217,1920,1080
49,0,ball,0.38129347562789917,1475.0819074026253,477.6826417495889,0.7682718267722007,0.44229874236073047,1920,1080
50,0,ball,0.4374024271965027,1473.6034004241053,477.5994383263858,0.7675017710542215,0.4422217021540609,1920,1080
51,0,ball,0.42355915904045105,1472.440675137219,477.4963072006523,0.7668961849673015,0.4421262103709744,1920,1080
52,0,ball,0.4183417856693268,1471.364075977101,477.40297051056814,0.7663354562380734,0.4420397875097853,1920,1080
53,0,ball,0.4169420897960663,1470.295362215288,477.3528937517021,0.7657788344871291,0.4419934201404649,1920,1080
54,0,ball,0.38933756947517395,1468.8361307151354,477.34930603844936,0.7650188180807996,0.4419900981837494,1920,1080
55,0,ball,0.35998037457466125,1466.9312950837682,477.4326390598012,0.7640267161894626,0.4420672583887048,1920,1080
56,0,ball,0.3198747932910919,1464.6977641336864,477.48949569421507,0.7628634188196284,0.4421199034205695,1920,1080
57,0,ball,0.39780107140541077,1462.646799161798,477.53094398812425,0.7617952078967698,0.4421582814704854,1920,1080
58,0,ball,0.43967732787132263,1460.8065794492757,477.551568137777,0.760836760129831,0.44217737790534906,1920,1080
59,0,ball,0.4386266767978668,1459.1835108528724,477.50695330456534,0.7599914119025377,0.4421360678745975,1920,1080
60,0,ball,0.398017019033432,1457.274239102901,477.39805375928813,0.7589969995327609,0.44203523496230385,1920,1080
61,0,ball,0.3640545904636383,1455.0351329798834,477.3078515671478,0.7578307984270226,0.44195171441402575,1920,1080
62,0,ball,0.3256208598613739,1452.6362832780014,477.244860470981,0.7565813975406257,0.4418933893249824,1920,1080
63,0,ball,0.39969438314437866,1450.650327347539,477.2094548796399,0.7555470454935098,0.44186060637003693,1920,1080
64,0,ball,0.43471238017082214,1449.1942564875555,477.2063703608405,0.7547886752539352,0.44185775033411157,1920,1080
65,0,ball,0.4329761564731598,1448.1814537831926,477.14359784124275,0.7542611738454128,0.44179962763078034,1920,1080
66,0,ball,0.4284900426864624,1447.2305459894685,476.98223599367435,0.7537659093695148,0.44165021851266145,1920,1080
67,0,ball,0.4261625409126282,1446.2789076225265,476.7472743557481,0.7532702643867325,0.4414326614405075,1920,1080
68,0,ball,0.41948679089546204,1445.1875258952741,476.4834526107046,0.7527018364037886,0.4411883820469487,1920,1080
69,0,ball,0.3534175157546997,1443.923477819082,476.1824853147721,0.752043478030772,0.440909708624789,1920,1080
70,0,ball,0.3205929696559906,1442.5988311939936,475.93195117736946,0.7513535579135383,0.4406777325716384,1920,1080
71,0,ball,0.3200438916683197,1441.1253118306545,475.7351175111441,0.7505860999117993,0.4404954791769853,1920,1080
72,0,ball,0.3665144443511963,1439.1672165996144,475.5163302165914,0.7495662586456325,0.4402928983486958,1920,1080
73,0,ball,0.381622314453125,1437.129547272433,475.2469038889071,0.7485049725377255,0.44004342952676584,1920,1080
74,0,ball,0.40354105830192566,1435.1214697625464,474.86530038942243,0.7474590988346596,0.4396900929531689,1920,1080
75,0,ball,0.35142040252685547,1433.3252112681128,474.2841350168984,0.7465235475354753,0.4391519768674985,1920,1080
76,0,ball,0.3665379285812378,1431.849987112429,473.56822870114013,0.7457552016210568,0.4384891006492038,1920,1080
77,0,ball,0.3660011291503906,1430.715094557512,473.25000694576084,0.7451641117487041,0.43819445087570447,1920,1080
78,0,ball,0.3141636550426483,1429.6880230474312,473.36993213804635,0.7446291786705371,0.4383054927204133,1920,1080
79,0,ball,0.31585776805877686,1429.1040531796025,473.81131984312873,0.7443250276977096,0.43871418503993403,1920,1080
80,0,ball,0.14752568304538727,1428.697012022791,474.28198200038327,0.7441130270952035,0.4391499833336882,1920,1080
81,0,ball,0.12,1428.4912023003128,474.6294240149983,0.7440058345314129,0.43947168890277616,1920,1080
